row_id,graph_id,q_id,split,q,n,m,edge_density,mean_degree,degree_variance,degree_s,degree_t,shortest_st_path_length,bridge_count,st_bridge_count,algebraic_connectivity,laplacian_spectral_radius,effective_resistance_st,betweenness_mean,betweenness_max,betweenness_std,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status,q_power_kappa,q_power_kappa_plus_1,q_power_kappa_plus_2,N_kappa_q_kappa,N_kappa_plus_1_q,N_kappa_plus_2_q,H_cut_2,log1p_H_cut_2
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,0.12,12,24,0.36363636363636365,4.0,1.0,3,6,2,0,0,0.5130620425699484,7.411756689926959,1.0048767022451228,0.0909090909090909,0.3424242424242424,0.11955944023373981,2,1,1,1,12926,exact,0.0144,0.0017279999999999997,0.00020735999999999997,0.0144,0.0017279999999999997,0.00020735999999999997,0.01633536,0.01620337343244489
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,0.24,12,24,0.36363636363636365,4.0,1.0,3,6,2,0,0,0.5130620425699484,7.411756689926959,1.0048767022451228,0.0909090909090909,0.3424242424242424,0.11955944023373981,2,1,1,1,12926,exact,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.013823999999999998,0.0033177599999999995,0.07474176,0.07208040946558415
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,0.36,12,24,0.36363636363636365,4.0,1.0,3,6,2,0,0,0.5130620425699484,7.411756689926959,1.0048767022451228,0.0909090909090909,0.3424242424242424,0.11955944023373981,2,1,1,1,12926,exact,0.1296,0.046655999999999996,0.016796159999999997,0.1296,0.046655999999999996,0.016796159999999997,0.19305216,0.1765148638699878
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,0.12,12,24,0.36363636363636365,4.0,1.0,2,4,3,0,0,0.4838822671094416,7.469189471062589,1.4259321436365766,0.09696969696969697,0.2863636363636364,0.11677267910713783,2,2,0,3,12926,exact,0.0144,0.0017279999999999997,0.00020735999999999997,0.0288,0.0,0.0006220799999999999,0.02942208,0.028997557394475272
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,0.24,12,24,0.36363636363636365,4.0,1.0,2,4,3,0,0,0.4838822671094416,7.469189471062589,1.4259321436365766,0.09696969696969697,0.2863636363636364,0.11677267910713783,2,2,0,3,12926,exact,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.0,0.009953279999999998,0.12515328,0.1179192752642355
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,0.36,12,24,0.36363636363636365,4.0,1.0,2,4,3,0,0,0.4838822671094416,7.469189471062589,1.4259321436365766,0.09696969696969697,0.2863636363636364,0.11677267910713783,2,2,0,3,12926,exact,0.1296,0.046655999999999996,0.016796159999999997,0.2592,0.0,0.05038847999999999,0.30958848,0.26971295045698984
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,0.12,12,24,0.36363636363636365,4.0,0.8333333333333334,4,4,2,0,0,0.4484689583286534,6.569372908029686,0.9611202635914334,0.10454545454545454,0.2881818181818182,0.10494981090939304,2,1,1,2,12926,exact,0.0144,0.0017279999999999997,0.00020735999999999997,0.0144,0.0017279999999999997,0.00041471999999999993,0.01654272,0.0164073797649045
g_n12_m24_k2_002_q01,g_n12_m24_k2_002,q01,test,0.24,12,24,0.36363636363636365,4.0,0.8333333333333334,4,4,2,0,0,0.4484689583286534,6.569372908029686,0.9611202635914334,0.10454545454545454,0.2881818181818182,0.10494981090939304,2,1,1,2,12926,exact,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.013823999999999998,0.006635519999999999,0.07805952,0.07516268432067455
g_n12_m24_k2_002_q02,g_n12_m24_k2_002,q02,test,0.36,12,24,0.36363636363636365,4.0,0.8333333333333334,4,4,2,0,0,0.4484689583286534,6.569372908029686,0.9611202635914334,0.10454545454545454,0.2881818181818182,0.10494981090939304,2,1,1,2,12926,exact,0.1296,0.046655999999999996,0.016796159999999997,0.1296,0.046655999999999996,0.033592319999999995,0.20984831999999998,0.19049499637910758
g_n12_m24_k2_003_q00,g_n12_m24_k2_003,q00,train,0.12,12,24,0.36363636363636365,4.0,1.5,2,3,3,0,0,0.4956775337170342,7.825866929245272,1.4638444000337762,0.09242424242424241,0.3757575757575757,0.13455876265060035,2,2,1,1,12926,exact,0.0144,0.0017279999999999997,0.00020735999999999997,0.0288,0.0017279999999999997,0.00020735999999999997,0.03073536,0.030272489253944594
g_n12_m24_k2_003_q01,g_n12_m24_k2_003,q01,train,0.24,12,24,0.36363636363636365,4.0,1.5,2,3,3,0,0,0.4956775337170342,7.825866929245272,1.4638444000337762,0.09242424242424241,0.3757575757575757,0.13455876265060035,2,2,1,1,12926,exact,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.013823999999999998,0.0033177599999999995,0.13234176,0.12428784234311178
g_n12_m24_k2_003_q02,g_n12_m24_k2_003,q02,train,0.36,12,24,0.36363636363636365,4.0,1.5,2,3,3,0,0,0.4956775337170342,7.825866929245272,1.4638444000337762,0.09242424242424241,0.3757575757575757,0.13455876265060035,2,2,1,1,12926,exact,0.1296,0.046655999999999996,0.016796159999999997,0.2592,0.046655999999999996,0.016796159999999997,0.32265215999999997,0.279638932952435
g_n12_m24_k2_004_q00,g_n12_m24_k2_004,q00,train,0.12,12,24,0.36363636363636365,4.0,1.0,4,4,2,0,0,0.4908031438991425,7.237033648181331,0.9006437349632617,0.09545454545454546,0.33636363636363636,0.11523455272893848,2,1,0,3,12926,exact,0.0144,0.0017279999999999997,0.00020735999999999997,0.0144,0.0,0.0006220799999999999,0.01502208,0.014910365951723754
g_n12_m24_k2_004_q01,g_n12_m24_k2_004,q01,train,0.24,12,24,0.36363636363636365,4.0,1.0,4,4,2,0,0,0.4908031438991425,7.237033648181331,0.9006437349632617,0.09545454545454546,0.33636363636363636,0.11523455272893848,2,1,0,3,12926,exact,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.0,0.009953279999999998,0.06755328,0.06536937588215545
g_n12_m24_k2_004_q02,g_n12_m24_k2_004,q02,train,0.36,12,24,0.36363636363636365,4.0,1.0,4,4,2,0,0,0.4908031438991425,7.237033648181331,0.9006437349632617,0.09545454545454546,0.33636363636363636,0.11523455272893848,2,1,0,3,12926,exact,0.1296,0.046655999999999996,0.016796159999999997,0.1296,0.0,0.05038847999999999,0.17998847999999998,0.16550467571805338
g_n12_m24_k3_000_q00,g_n12_m24_k3_000,q00,train,0.12,12,24,0.36363636363636365,4.0,0.3333333333333333,3,4,2,0,0,0.7410476375552584,6.8868127380304465,0.8549328030460105,0.08636363636363636,0.2309090909090909,0.06895365597840691,3,2,1,8,55154,exact,0.0017279999999999997,0.00020735999999999997,2.4883199999999996e-05,0.0034559999999999994,0.00020735999999999997,0.00019906559999999997,0.003862425599999999,0.0038549855857562994
g_n12_m24_k3_000_q01,g_n12_m24_k3_000,q01,train,0.24,12,24,0.36363636363636365,4.0,0.3333333333333333,3,4,2,0,0,0.7410476375552584,6.8868127380304465,0.8549328030460105,0.08636363636363636,0.2309090909090909,0.06895365597840691,3,2,1,8,55154,exact,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.027647999999999995,0.0033177599999999995,0.006370099199999999,0.037335859199999995,0.03665575260651055
g_n12_m24_k3_000_q02,g_n12_m24_k3_000,q02,train,0.36,12,24,0.36363636363636365,4.0,0.3333333333333333,3,4,2,0,0,0.7410476375552584,6.8868127380304465,0.8549328030460105,0.08636363636363636,0.2309090909090909,0.06895365597840691,3,2,1,8,55154,exact,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.09331199999999999,0.016796159999999997,0.04837294079999999,0.15848110079999997,0.14710975124837944
g_n12_m24_k3_001_q00,g_n12_m24_k3_001,q00,train,0.12,12,24,0.36363636363636365,4.0,0.5,4,5,2,0,0,0.6883584150891587,7.0417956036918845,0.6384105960264898,0.09090909090909093,0.25696969696969696,0.07444088090918631,3,1,1,3,55154,exact,0.0017279999999999997,0.00020735999999999997,2.4883199999999996e-05,0.0017279999999999997,0.00020735999999999997,7.464959999999998e-05,0.0020100096,0.00200799223353561
g_n12_m24_k3_001_q01,g_n12_m24_k3_001,q01,train,0.24,12,24,0.36363636363636365,4.0,0.5,4,5,2,0,0,0.6883584150891587,7.0417956036918845,0.6384105960264898,0.09090909090909093,0.25696969696969696,0.07444088090918631,3,1,1,3,55154,exact,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.013823999999999998,0.0033177599999999995,0.0023887871999999995,0.019530547199999998,0.019342273506494874
